YEAR BUILT,TEST,NEIGHBORHOOD
2012,1584397,MANHATTAN VALLEY         
1905,1581000,FLATIRON                 
1963,1581000,UPPER EAST SIDE (59-79)  
1955,1580000,LOWER EAST SIDE          
1983,1580000,MIDTOWN EAST             
1983,1579184,UPPER EAST SIDE (79-96)  
1931,1578287,CLINTON                  
1962,1576000,UPPER EAST SIDE (79-96)  
1930,1575000,CHELSEA                  
1926,1575000,FINANCIAL                
1987,1575000,FINANCIAL                
1955,1575000,FLATIRON                 
2007,1575000,FLATIRON                 
1900,1575000,FLATIRON                 
1900,1575000,GREENWICH VILLAGE-CENTRAL
1988,1575000,KIPS BAY                 
1955,1575000,LOWER EAST SIDE          
1958,1575000,MIDTOWN EAST             
1985,1575000,MIDTOWN EAST             
1968,1575000,MIDTOWN WEST             
2005,1575000,MIDTOWN WEST             
2006,1575000,TRIBECA                  
1911,1575000,UPPER EAST SIDE (79-96)  
1927,1575000,UPPER WEST SIDE (59-79)  
1925,1575000,UPPER WEST SIDE (79-96)  
1922,1575000,UPPER WEST SIDE (96-116) 
1927,1573196,UPPER EAST SIDE (79-96)  
1925,1572500,SOHO                     
2012,1572178,MANHATTAN VALLEY         
2012,1570105,EAST VILLAGE             
2008,1570000,CHELSEA                  
1900,1570000,EAST VILLAGE             
2007,1570000,FLATIRON                 
1900,1570000,GREENWICH VILLAGE-CENTRAL
1964,1570000,KIPS BAY                 
2004,1570000,SOHO                     
1967,1570000,UPPER EAST SIDE (59-79)  
2012,1566058,GRAMERCY                 
2010,1565000,CIVIC CENTER             
1984,1565000,MIDTOWN EAST             
1990,1565000,UPPER EAST SIDE (59-79)  
1920,1562500,UPPER EAST SIDE (79-96)  
1910,1562195,UPPER WEST SIDE (59-79)  
2005,1562000,UPPER WEST SIDE (59-79)  
2012,1560000,EAST VILLAGE             
1982,1560000,FINANCIAL                
1911,1560000,FLATIRON                 
1931,1560000,GRAMERCY                 
1961,1560000,GREENWICH VILLAGE-WEST   
1920,1560000,GREENWICH VILLAGE-WEST   
2004,1560000,LOWER EAST SIDE          
1928,1560000,UPPER EAST SIDE (59-79)  
1986,1560000,UPPER EAST SIDE (59-79)  
1985,1560000,UPPER EAST SIDE (59-79)  
1922,1557000,GREENWICH VILLAGE-CENTRAL
2005,1555000,FINANCIAL                
2012,1554867,MANHATTAN VALLEY         
2012,1553839,GRAMERCY                 
2012,1552831,CHELSEA                  
1920,1552831,GREENWICH VILLAGE-WEST   
1900,1552831,SOUTHBRIDGE              
1930,1551935,MANHATTAN VALLEY         
1926,1551000,UPPER WEST SIDE (79-96)  
1900,1550000,CHELSEA                  
1910,1550000,CHELSEA                  
2008,1550000,CLINTON                  
1906,1550000,FLATIRON                 
1955,1550000,GREENWICH VILLAGE-CENTRAL
1960,1550000,GREENWICH VILLAGE-CENTRAL
1960,1550000,GREENWICH VILLAGE-CENTRAL
1921,1550000,GREENWICH VILLAGE-CENTRAL
1921,1550000,GREENWICH VILLAGE-CENTRAL
1910,1550000,HARLEM-CENTRAL           
2004,1550000,MIDTOWN WEST             
2004,1550000,MIDTOWN WEST             
1964,1550000,MURRAY HILL              
1915,1550000,TRIBECA                  
1959,1550000,UPPER EAST SIDE (59-79)  
1990,1550000,UPPER EAST SIDE (59-79)  
1961,1550000,UPPER EAST SIDE (79-96)  
1981,1550000,UPPER EAST SIDE (79-96)  
1928,1550000,UPPER EAST SIDE (79-96)  
1987,1550000,UPPER EAST SIDE (79-96)  
1929,1550000,UPPER WEST SIDE (59-79)  
1968,1550000,UPPER WEST SIDE (59-79)  
1931,1550000,UPPER WEST SIDE (79-96)  
1986,1550000,UPPER WEST SIDE (79-96)  
2012,1549766,GRAMERCY                 
1924,1548000,GREENWICH VILLAGE-CENTRAL
2005,1545000,FINANCIAL                
1927,1545000,UPPER WEST SIDE (79-96)  
1930,1543500,UPPER EAST SIDE (59-79)  
2012,1541620,GRAMERCY                 
1961,1540642,GREENWICH VILLAGE-WEST   
1962,1540000,GRAMERCY                 
1937,1540000,UPPER EAST SIDE (59-79)  
1961,1540000,UPPER EAST SIDE (79-96)  
1958,1540000,UPPER EAST SIDE (79-96)  
1900,1537557,SOUTHBRIDGE              
1926,1537500,UPPER WEST SIDE (79-96)  
1900,1537000,FLATIRON                 
1937,1536000,MIDTOWN CBD              
2007,1535000,FINANCIAL                
1960,1535000,GREENWICH VILLAGE-CENTRAL
1923,1535000,GREENWICH VILLAGE-CENTRAL
1924,1535000,GREENWICH VILLAGE-CENTRAL
1930,1535000,MIDTOWN WEST             
2012,1534502,MANHATTAN VALLEY         
1969,1534500,MIDTOWN EAST             
2013,1532466,HARLEM-CENTRAL           
1920,1530000,CHINATOWN                
2006,1530000,CLINTON                  
2007,1530000,EAST VILLAGE             
2012,1530000,EAST VILLAGE             
1988,1530000,UPPER EAST SIDE (79-96)  
1927,1530000,UPPER WEST SIDE (59-79)  
2007,1530000,UPPER WEST SIDE (59-79)  
1920,1527375,CHINATOWN                
1920,1527375,GREENWICH VILLAGE-WEST   
1972,1527375,MIDTOWN EAST             
1935,1527375,MIDTOWN WEST             
1900,1527375,SOUTHBRIDGE              
2012,1527364,GRAMERCY                 
1972,1526356,MIDTOWN EAST             
2005,1525000,CLINTON                  
1956,1525000,MIDTOWN EAST             
1987,1525000,MIDTOWN WEST             
1925,1525000,MIDTOWN WEST             
2005,1525000,UPPER WEST SIDE (59-79)  
1924,1525000,UPPER WEST SIDE (96-116) 
1924,1524254,UPPER WEST SIDE (59-79)  
2012,1523291,GRAMERCY                 
1924,1522284,CIVIC CENTER             
1967,1520000,FINANCIAL                
1913,1520000,UPPER WEST SIDE (79-96)  
2007,1519679,CHINATOWN                
1985,1519000,UPPER EAST SIDE (59-79)  
1956,1515000,FINANCIAL                
1961,1515000,UPPER EAST SIDE (59-79)  
1962,1515000,UPPER EAST SIDE (79-96)  
2013,1513628,HARLEM-CENTRAL           
1917,1512101,MURRAY HILL              
2012,1510000,CHELSEA                  
1914,1510000,FINANCIAL                
1900,1510000,GREENWICH VILLAGE-CENTRAL
1986,1510000,UPPER EAST SIDE (59-79)  
1979,1510000,UPPER WEST SIDE (59-79)  
1924,1510000,UPPER WEST SIDE (59-79)  
2012,1509010,EAST VILLAGE             
2012,1507010,CHELSEA                  
1925,1503500,UPPER EAST SIDE (79-96)  
1920,1501918,CHINATOWN                
2012,1500900,MANHATTAN VALLEY         
2008,1500000,CHELSEA                  
1960,1500000,CIVIC CENTER             
1982,1500000,FINANCIAL                
1967,1500000,FINANCIAL                
1960,1500000,GREENWICH VILLAGE-CENTRAL
1963,1500000,GREENWICH VILLAGE-WEST   
1900,1500000,GREENWICH VILLAGE-WEST   
1920,1500000,GREENWICH VILLAGE-WEST   
1962,1500000,KIPS BAY                 
1956,1500000,MIDTOWN EAST             
1958,1500000,MIDTOWN EAST             
1960,1500000,MIDTOWN EAST             
1935,1500000,MIDTOWN WEST             
2006,1500000,MIDTOWN WEST             
2006,1500000,MIDTOWN WEST             
2004,1500000,MIDTOWN WEST             
2004,1500000,MIDTOWN WEST             
2005,1500000,MURRAY HILL              
2003,1500000,MURRAY HILL              
2005,1500000,TRIBECA                  
1987,1500000,TRIBECA                  
1988,1500000,TRIBECA                  
1928,1500000,UPPER EAST SIDE (59-79)  
1957,1500000,UPPER EAST SIDE (59-79)  
1958,1500000,UPPER EAST SIDE (59-79)  
1960,1500000,UPPER EAST SIDE (59-79)  
1951,1500000,UPPER EAST SIDE (59-79)  
1985,1500000,UPPER EAST SIDE (59-79)  
1955,1500000,UPPER EAST SIDE (79-96)  
1960,1500000,UPPER EAST SIDE (79-96)  
1940,1500000,UPPER EAST SIDE (79-96)  
1980,1500000,UPPER EAST SIDE (79-96)  
2007,1500000,UPPER EAST SIDE (79-96)  
1963,1500000,UPPER EAST SIDE (79-96)  
1929,1500000,UPPER EAST SIDE (79-96)  
1998,1500000,UPPER EAST SIDE (79-96)  
1998,1500000,UPPER EAST SIDE (79-96)  
1969,1500000,UPPER WEST SIDE (59-79)  
1911,1500000,UPPER WEST SIDE (59-79)  
1929,1500000,UPPER WEST SIDE (59-79)  
1950,1500000,UPPER WEST SIDE (59-79)  
1983,1500000,UPPER WEST SIDE (59-79)  
1926,1500000,UPPER WEST SIDE (59-79)  
1900,1500000,UPPER WEST SIDE (79-96)  
1911,1500000,UPPER WEST SIDE (79-96)  
1931,1500000,UPPER WEST SIDE (79-96)  
1914,1500000,UPPER WEST SIDE (79-96)  
1926,1500000,UPPER WEST SIDE (79-96)  
1973,1500000,UPPER WEST SIDE (79-96)  
1931,1500000,UPPER WEST SIDE (79-96)  
1925,1500000,UPPER WEST SIDE (96-116) 
1917,1500000,UPPER WEST SIDE (96-116) 
1960,1499000,UPPER EAST SIDE (79-96)  
1940,1499000,UPPER WEST SIDE (96-116) 
2012,1498853,GRAMERCY                 
1928,1498650,UPPER EAST SIDE (59-79)  
2012,1495799,GRAMERCY                 
2008,1495000,CHELSEA                  
1931,1495000,GRAMERCY                 
1987,1495000,GRAMERCY                 
1951,1495000,MIDTOWN EAST             
1965,1495000,UPPER EAST SIDE (59-79)  
1929,1495000,UPPER EAST SIDE (59-79)  
1924,1495000,UPPER WEST SIDE (59-79)  
1900,1495000,UPPER WEST SIDE (79-96)  
2006,1494800,MIDTOWN WEST             
1978,1492500,MIDTOWN WEST             
2013,1491736,HARLEM-CENTRAL           
2013,1491736,HARLEM-CENTRAL           
2013,1491736,HARLEM-CENTRAL           
1973,1490000,MIDTOWN CBD              
2005,1490000,SOHO                     
1930,1490000,UPPER EAST SIDE (59-79)  
1908,1488711,MIDTOWN WEST             
1912,1488000,GREENWICH VILLAGE-CENTRAL
1910,1487805,UPPER WEST SIDE (59-79)  
1941,1487500,UPPER EAST SIDE (59-79)  
1963,1485656,UPPER WEST SIDE (59-79)  
2006,1485000,CHELSEA                  
1920,1485000,EAST VILLAGE             
1986,1485000,FLATIRON                 
1965,1485000,GRAMERCY                 
1910,1485000,GREENWICH VILLAGE-CENTRAL
1967,1485000,MIDTOWN EAST             
1956,1485000,MIDTOWN EAST             
1962,1485000,MIDTOWN WEST             
1987,1485000,UPPER EAST SIDE (59-79)  
2012,1482990,GRAMERCY                 
2012,1482572,MANHATTAN VALLEY         
2012,1482500,EAST VILLAGE             
2012,1480535,MANHATTAN VALLEY         
1900,1480000,ALPHABET CITY            
1926,1480000,HARLEM-UPPER             
1979,1480000,MIDTOWN EAST             
1985,1480000,TRIBECA                  
1962,1480000,UPPER EAST SIDE (79-96)  
1922,1480000,UPPER WEST SIDE (79-96)  
1929,1480000,UPPER WEST SIDE (96-116) 
1931,1476462,CLINTON                  
2003,1476462,FINANCIAL                
2013,1476462,HARLEM-CENTRAL           
1972,1476462,MIDTOWN EAST             
2006,1475000,CHELSEA                  
1928,1475000,EAST VILLAGE             
1911,1475000,FLATIRON                 
1913,1475000,FLATIRON                 
1952,1475000,GREENWICH VILLAGE-CENTRAL
1910,1475000,HARLEM-CENTRAL           
1985,1475000,MIDTOWN EAST             
1960,1475000,UPPER EAST SIDE (59-79)  
1984,1475000,UPPER EAST SIDE (59-79)  
1902,1475000,UPPER EAST SIDE (79-96)  
1924,1475000,UPPER EAST SIDE (79-96)  
1902,1475000,UPPER WEST SIDE (59-79)  
1931,1475000,UPPER WEST SIDE (79-96)  
1926,1475000,UPPER WEST SIDE (79-96)  
1917,1471371,MURRAY HILL              
1917,1471371,MURRAY HILL              
2005,1471000,MURRAY HILL              
2007,1470000,CHINATOWN                
2008,1470000,CLINTON                  
1987,1470000,MIDTOWN WEST             
2008,1465000,CLINTON                  
1961,1465000,GREENWICH VILLAGE-WEST   
2005,1465000,MIDTOWN WEST             
2008,1465000,MURRAY HILL              
1974,1465000,UPPER EAST SIDE (79-96)  
1930,1464000,MIDTOWN WEST             
1920,1462500,UPPER EAST SIDE (79-96)  
1902,1462500,UPPER WEST SIDE (59-79)  
2012,1462207,MANHATTAN VALLEY         
2012,1460170,MANHATTAN VALLEY         
1900,1460027,SOHO                     
1925,1460000,FASHION                  
1906,1460000,FINANCIAL                
1985,1460000,GREENWICH VILLAGE-CENTRAL
2009,1460000,KIPS BAY                 
1961,1460000,UPPER EAST SIDE (59-79)  
1963,1457000,UPPER EAST SIDE (79-96)  
1909,1455000,FINANCIAL                
1974,1455000,MIDTOWN EAST             
2005,1455000,MIDTOWN WEST             
1920,1451006,CHINATOWN                
1917,1451006,MURRAY HILL              
1982,1450000,FINANCIAL                
2005,1450000,FINANCIAL                
1928,1450000,FINANCIAL                
1906,1450000,FINANCIAL                
1911,1450000,FLATIRON                 
1913,1450000,FLATIRON                 
1986,1450000,FLATIRON                 
1964,1450000,GREENWICH VILLAGE-CENTRAL
1955,1450000,LOWER EAST SIDE          
1937,1450000,MIDTOWN CBD              
1975,1450000,MIDTOWN CBD              
1977,1450000,MIDTOWN EAST             
1929,1450000,MIDTOWN EAST             
1958,1450000,MIDTOWN EAST             
1984,1450000,MIDTOWN EAST             
2002,1450000,MIDTOWN EAST             
1989,1450000,MIDTOWN WEST             
2005,1450000,MIDTOWN WEST             
2007,1450000,MURRAY HILL              
1960,1450000,MURRAY HILL              
1963,1450000,UPPER EAST SIDE (59-79)  
1956,1450000,UPPER EAST SIDE (59-79)  
1963,1450000,UPPER EAST SIDE (79-96)  
1987,1450000,UPPER EAST SIDE (79-96)  
1987,1450000,UPPER EAST SIDE (79-96)  
1923,1450000,UPPER WEST SIDE (59-79)  
1927,1450000,UPPER WEST SIDE (59-79)  
1989,1450000,UPPER WEST SIDE (59-79)  
1912,1450000,UPPER WEST SIDE (79-96)  
1985,1450000,UPPER WEST SIDE (79-96)  
1931,1445915,CLINTON                  
2005,1445915,FINANCIAL                
2006,1445915,MURRAY HILL              
1924,1445000,GREENWICH VILLAGE-CENTRAL
1987,1445000,GREENWICH VILLAGE-WEST   
1987,1445000,UPPER EAST SIDE (59-79)  
1974,1445000,UPPER EAST SIDE (79-96)  
1905,1445000,UPPER WEST SIDE (96-116) 
1950,1442350,MIDTOWN WEST             
2012,1440823,MANHATTAN VALLEY         
2013,1440823,MURRAY HILL              
2006,1440000,MIDTOWN WEST             
2004,1440000,MIDTOWN WEST             
1936,1440000,UPPER EAST SIDE (59-79)  
2012,1438787,MANHATTAN VALLEY         
1911,1435000,CHELSEA                  
1968,1435000,UPPER WEST SIDE (59-79)  
1925,1435000,UPPER WEST SIDE (79-96)  
1923,1435000,UPPER WEST SIDE (96-116) 
1928,1433000,UPPER EAST SIDE (79-96)  
1964,1432000,GREENWICH VILLAGE-CENTRAL
2013,1430641,MURRAY HILL              
1982,1430000,FINANCIAL                
1982,1430000,FINANCIAL                
1909,1430000,FINANCIAL                
2005,1430000,MIDTOWN WEST             
1940,1430000,SOUTHBRIDGE              
1905,1430000,UPPER WEST SIDE (59-79)  
2012,1429612,GRAMERCY                 
2012,1429612,GRAMERCY                 
2007,1429000,EAST VILLAGE             
1928,1429000,UPPER EAST SIDE (79-96)  
1923,1427000,UPPER WEST SIDE (96-116) 
1911,1426500,FLATIRON                 
1929,1426500,GREENWICH VILLAGE-CENTRAL
1959,1426500,MIDTOWN EAST             
1959,1426500,UPPER EAST SIDE (59-79)  
1920,1425550,CHINATOWN                
1987,1425550,FINANCIAL                
2013,1425550,HARLEM-CENTRAL           
1926,1425550,MIDTOWN WEST             
1920,1425000,CHELSEA                  
2008,1425000,CLINTON                  
2006,1425000,FASHION                  
1961,1425000,GREENWICH VILLAGE-WEST   
1961,1425000,GREENWICH VILLAGE-WEST   
1955,1425000,MIDTOWN EAST             
1979,1425000,MIDTOWN EAST             
1984,1425000,MIDTOWN EAST             
2004,1425000,MIDTOWN WEST             
2004,1425000,MIDTOWN WEST             
1910,1425000,TRIBECA                  
1908,1425000,UPPER EAST SIDE (59-79)  
1962,1425000,UPPER EAST SIDE (79-96)  
1987,1425000,UPPER EAST SIDE (79-96)  
2003,1425000,UPPER EAST SIDE (79-96)  
1925,1425000,UPPER WEST SIDE (59-79)  
2012,1422458,EAST VILLAGE             
2012,1422458,EAST VILLAGE             
2012,1422458,EAST VILLAGE             
2012,1422458,EAST VILLAGE             
2012,1421466,GRAMERCY                 
1920,1421000,UPPER WEST SIDE (96-116) 
2013,1420458,HARLEM-CENTRAL           
1985,1420000,UPPER WEST SIDE (79-96)  
1910,1420000,UPPER WEST SIDE (96-116) 
1969,1415000,MIDTOWN EAST             
2005,1415000,MIDTOWN WEST             
1961,1415000,UPPER EAST SIDE (59-79)  
1963,1413500,UPPER EAST SIDE (59-79)  
2007,1410000,EAST VILLAGE             
2006,1410000,FASHION                  
1921,1410000,GREENWICH VILLAGE-CENTRAL
2010,1410000,HARLEM-CENTRAL           
1960,1410000,MURRAY HILL              
1940,1410000,SOUTHBRIDGE              
1964,1407729,UPPER WEST SIDE (59-79)  
2012,1407185,EAST VILLAGE             
2013,1405185,HARLEM-CENTRAL           
2013,1405185,HARLEM-CENTRAL           
1960,1405185,MANHATTAN VALLEY         
1900,1405185,SOUTHBRIDGE              
1906,1405000,FINANCIAL                
1941,1405000,MANHATTAN VALLEY         
1983,1405000,MIDTOWN EAST             
1961,1405000,UPPER EAST SIDE (59-79)  
1920,1405000,UPPER WEST SIDE (59-79)  
1961,1404000,UPPER EAST SIDE (59-79)  
1928,1404000,UPPER WEST SIDE (79-96)  
2012,1402093,EAST VILLAGE             
1915,1402050,TRIBECA                  
1926,1401000,GREENWICH VILLAGE-CENTRAL
2010,1401000,HARLEM-CENTRAL           
1920,1400093,CHINATOWN                
2012,1400093,EAST VILLAGE             
1963,1400007,UPPER WEST SIDE (59-79)  
2003,1400000,CHELSEA                  
2008,1400000,CLINTON                  
2005,1400000,CLINTON                  
1914,1400000,FINANCIAL                
1967,1400000,FINANCIAL                
1913,1400000,FLATIRON                 
1983,1400000,FLATIRON                 
1956,1400000,GRAMERCY                 
1987,1400000,GRAMERCY                 
1927,1400000,GREENWICH VILLAGE-CENTRAL
1960,1400000,GREENWICH VILLAGE-CENTRAL
1962,1400000,GREENWICH VILLAGE-CENTRAL
2013,1400000,HARLEM-CENTRAL           
1956,1400000,MIDTOWN EAST             
1961,1400000,MIDTOWN EAST             
1986,1400000,MIDTOWN EAST             
1935,1400000,MIDTOWN WEST             
2004,1400000,MIDTOWN WEST             
1931,1400000,MIDTOWN WEST             
1931,1400000,MIDTOWN WEST             
1987,1400000,MIDTOWN WEST             
2005,1400000,MIDTOWN WEST             
1975,1400000,MURRAY HILL              
2008,1400000,MURRAY HILL              
1919,1400000,SOUTHBRIDGE              
1957,1400000,UPPER EAST SIDE (59-79)  
1965,1400000,UPPER EAST SIDE (59-79)  
1956,1400000,UPPER EAST SIDE (59-79)  
1987,1400000,UPPER EAST SIDE (59-79)  
1980,1400000,UPPER EAST SIDE (79-96)  
1901,1400000,UPPER EAST SIDE (79-96)  
1998,1400000,UPPER EAST SIDE (79-96)  
1911,1400000,UPPER WEST SIDE (59-79)  
1987,1400000,UPPER WEST SIDE (59-79)  
1987,1400000,UPPER WEST SIDE (59-79)  
1917,1400000,UPPER WEST SIDE (79-96)  
1912,1400000,UPPER WEST SIDE (79-96)  
1910,1400000,UPPER WEST SIDE (96-116) 
1920,1400000,UPPER WEST SIDE (96-116) 
1931,1399000,GRAMERCY                 
2007,1399000,UPPER EAST SIDE (79-96)  
1930,1397400,UPPER WEST SIDE (59-79)  
2013,1395002,MURRAY HILL              
1929,1395000,EAST VILLAGE             
1962,1395000,GRAMERCY                 
1926,1395000,GREENWICH VILLAGE-CENTRAL
1951,1395000,MIDTOWN EAST             
1923,1395000,UPPER EAST SIDE (59-79)  
1963,1395000,UPPER EAST SIDE (59-79)  
1963,1395000,UPPER EAST SIDE (59-79)  
1999,1395000,UPPER EAST SIDE (59-79)  
1951,1395000,UPPER EAST SIDE (79-96)  
1950,1395000,UPPER WEST SIDE (59-79)  
2012,1391911,EAST VILLAGE             
2005,1390000,MIDTOWN WEST             
1927,1390000,UPPER EAST SIDE (59-79)  
1986,1390000,UPPER EAST SIDE (59-79)  
1958,1390000,UPPER EAST SIDE (79-96)  
1930,1390000,UPPER WEST SIDE (79-96)  
2013,1389911,HARLEM-CENTRAL           
2013,1389911,MURRAY HILL              
2005,1388000,MIDTOWN WEST             
1925,1387662,UPPER WEST SIDE (96-116) 
1988,1387000,KIPS BAY                 
1982,1385000,FINANCIAL                
1962,1385000,MIDTOWN EAST             
1959,1385000,MIDTOWN EAST             
1969,1385000,UPPER EAST SIDE (59-79)  
1965,1385000,UPPER EAST SIDE (79-96)  
1905,1385000,UPPER WEST SIDE (59-79)  
1917,1385000,UPPER WEST SIDE (79-96)  
2007,1384820,FINANCIAL                
2012,1384809,GRAMERCY                 
2012,1381755,GRAMERCY                 
2012,1380000,FLATIRON                 
1987,1380000,GRAMERCY                 
2006,1380000,GREENWICH VILLAGE-CENTRAL
1982,1380000,MIDTOWN EAST             
1987,1380000,MIDTOWN WEST             
2004,1380000,MIDTOWN WEST             
1929,1380000,UPPER EAST SIDE (59-79)  
1970,1380000,UPPER WEST SIDE (59-79)  
1926,1380000,UPPER WEST SIDE (59-79)  
1963,1377500,UPPER WEST SIDE (59-79)  
2012,1376637,EAST VILLAGE             
2003,1375000,CHELSEA                  
1911,1375000,CHELSEA                  
2003,1375000,FINANCIAL                
1973,1375000,GRAMERCY                 
1928,1375000,GREENWICH VILLAGE-CENTRAL
2008,1375000,HARLEM-CENTRAL           
1960,1375000,LOWER EAST SIDE          
1961,1375000,MANHATTAN VALLEY         
2006,1375000,TRIBECA                  
1907,1375000,UPPER EAST SIDE (59-79)  
1929,1375000,UPPER EAST SIDE (59-79)  
1963,1375000,UPPER EAST SIDE (59-79)  
1963,1375000,UPPER EAST SIDE (59-79)  
1962,1375000,UPPER EAST SIDE (59-79)  
1922,1375000,UPPER EAST SIDE (79-96)  
1986,1375000,UPPER EAST SIDE (79-96)  
1940,1375000,UPPER WEST SIDE (59-79)  
1923,1375000,UPPER WEST SIDE (79-96)  
1920,1375000,UPPER WEST SIDE (79-96)  
1920,1375000,UPPER WEST SIDE (79-96)  
1930,1375000,UPPER WEST SIDE (96-116) 
1920,1374637,CHINATOWN                
1920,1374637,CHINATOWN                
2013,1374637,HARLEM-CENTRAL           
1920,1374637,HARLEM-CENTRAL           
2013,1374637,MURRAY HILL              
1900,1374637,SOUTHBRIDGE              
1963,1374637,UPPER EAST SIDE (79-96)  
1963,1374637,UPPER EAST SIDE (79-96)  
2012,1374627,GRAMERCY                 
1927,1372550,UPPER EAST SIDE (59-79)  
1929,1372500,GREENWICH VILLAGE-CENTRAL
1920,1372091,HARLEM-CENTRAL           
2012,1371546,EAST VILLAGE             
2012,1371546,EAST VILLAGE             
1965,1370000,GRAMERCY                 
1977,1370000,MIDTOWN EAST             
1982,1370000,MIDTOWN EAST             
2006,1370000,MIDTOWN WEST             
2012,1369546,EAST VILLAGE             
1900,1369546,SOUTHBRIDGE              
1941,1368750,MURRAY HILL              
1961,1368000,UPPER EAST SIDE (59-79)  
1940,1366000,UPPER WEST SIDE (59-79)  
1913,1365000,FLATIRON                 
1963,1365000,GREENWICH VILLAGE-CENTRAL
1985,1365000,GREENWICH VILLAGE-CENTRAL
1930,1365000,MIDTOWN EAST             
1926,1365000,MIDTOWN WEST             
2005,1365000,MIDTOWN WEST             
1963,1365000,UPPER EAST SIDE (59-79)  
1963,1365000,UPPER EAST SIDE (59-79)  
1987,1365000,UPPER EAST SIDE (79-96)  
1900,1365000,UPPER WEST SIDE (79-96)  
1973,1365000,UPPER WEST SIDE (79-96)  
1875,1365000,UPPER WEST SIDE (79-96)  
1918,1365000,UPPER WEST SIDE (96-116) 
2001,1362500,MURRAY HILL              
1972,1362000,GRAMERCY                 
2013,1361400,HARLEM-CENTRAL           
1914,1360000,FINANCIAL                
1987,1360000,GRAMERCY                 
1966,1360000,GREENWICH VILLAGE-CENTRAL
2007,1360000,GREENWICH VILLAGE-WEST   
2007,1360000,KIPS BAY                 
1958,1360000,UPPER EAST SIDE (59-79)  
1966,1360000,UPPER EAST SIDE (59-79)  
1960,1360000,UPPER EAST SIDE (59-79)  
1950,1360000,UPPER WEST SIDE (59-79)  
2008,1356000,CHELSEA                  
1927,1356000,UPPER EAST SIDE (59-79)  
1920,1355698,CHINATOWN                
1960,1355400,GREENWICH VILLAGE-WEST   
1930,1355000,MANHATTAN VALLEY         
1974,1355000,MIDTOWN EAST             
1985,1355000,MIDTOWN EAST             
1900,1354272,SOUTHBRIDGE              
1910,1353000,KIPS BAY                 
1915,1352745,SOHO                     
1960,1352500,UPPER EAST SIDE (79-96)  
1965,1350000,ALPHABET CITY            
1910,1350000,CHELSEA                  
2006,1350000,CHELSEA                  
1910,1350000,CLINTON                  
2008,1350000,CLINTON                  
1986,1350000,CLINTON                  
1928,1350000,EAST VILLAGE             
1914,1350000,FINANCIAL                
1973,1350000,GRAMERCY                 
1929,1350000,GRAMERCY                 
1900,1350000,GREENWICH VILLAGE-CENTRAL
1900,1350000,GREENWICH VILLAGE-CENTRAL
1966,1350000,GREENWICH VILLAGE-CENTRAL
1961,1350000,GREENWICH VILLAGE-WEST   
1910,1350000,GREENWICH VILLAGE-WEST   
2006,1350000,HARLEM-CENTRAL           
1910,1350000,HARLEM-CENTRAL           
1892,1350000,HARLEM-CENTRAL           
1961,1350000,KIPS BAY                 
1926,1350000,MANHATTAN VALLEY         
1977,1350000,MIDTOWN EAST             
1957,1350000,MIDTOWN EAST             
1929,1350000,MIDTOWN EAST             
1958,1350000,MIDTOWN EAST             
1959,1350000,MIDTOWN EAST             
1900,1350000,MIDTOWN EAST             
1968,1350000,MIDTOWN WEST             
1931,1350000,MIDTOWN WEST             
2005,1350000,MIDTOWN WEST             
2005,1350000,MIDTOWN WEST             
1931,1350000,TRIBECA                  
1947,1350000,UPPER EAST SIDE (59-79)  
1949,1350000,UPPER EAST SIDE (59-79)  
1929,1350000,UPPER EAST SIDE (59-79)  
1960,1350000,UPPER EAST SIDE (59-79)  
1958,1350000,UPPER EAST SIDE (59-79)  
1940,1350000,UPPER EAST SIDE (59-79)  
1959,1350000,UPPER EAST SIDE (59-79)  
1988,1350000,UPPER EAST SIDE (59-79)  
1986,1350000,UPPER EAST SIDE (59-79)  
1928,1350000,UPPER EAST SIDE (79-96)  
1912,1350000,UPPER EAST SIDE (79-96)  
1925,1350000,UPPER EAST SIDE (79-96)  
1960,1350000,UPPER EAST SIDE (79-96)  
1974,1350000,UPPER WEST SIDE (59-79)  
1914,1350000,UPPER WEST SIDE (79-96)  
1921,1350000,UPPER WEST SIDE (79-96)  
2013,1349211,HARLEM-CENTRAL           
1950,1349181,CLINTON                  
1900,1349181,SOUTHBRIDGE              
1929,1349000,UPPER WEST SIDE (59-79)  
1924,1349000,UPPER WEST SIDE (96-116) 
1931,1344090,CLINTON                  
2007,1344090,FINANCIAL                
1984,1344090,KIPS BAY                 
1966,1344000,GREENWICH VILLAGE-CENTRAL
1927,1340000,FINANCIAL                
2012,1340000,FLATIRON                 
1929,1340000,UPPER EAST SIDE (59-79)  
1970,1340000,UPPER EAST SIDE (79-96)  
2005,1338888,MIDTOWN WEST             
1958,1336000,UPPER EAST SIDE (59-79)  
1926,1335000,GREENWICH VILLAGE-CENTRAL
1915,1335000,GREENWICH VILLAGE-WEST   
1950,1335000,UPPER WEST SIDE (59-79)  
1982,1332500,MIDTOWN EAST             
1956,1330000,MIDTOWN EAST             
1979,1330000,MIDTOWN EAST             
2005,1330000,MURRAY HILL              
1915,1330000,UPPER WEST SIDE (59-79)  
1917,1328816,MURRAY HILL              
1900,1325000,CHELSEA                  
2008,1325000,CLINTON                  
1927,1325000,FINANCIAL                
1986,1325000,FLATIRON                 
1930,1325000,GREENWICH VILLAGE-WEST   
